URL,Grade,Grade Accepted,Bank,Review,Product,Proxy Used,Status,Clear Conditions,Polite Employee,Availability,Convenience,City,Date
https://www.banki.ru/services/responses/bank/response/12622410,0,False,"Возврат комиссии – отзыв о Альфа-Банке от ""user0459062"" | Банки.ру","11.10.25 была списана комиссия за подписку Альфа-смарт в сумме 399 руб. 12.10 я это обнаружила, возл...",Отзывы о дебетовых картах Альфа-Банка,False,good,3,3,3,3,Ярославль (Ярославская область),12.10.2025 13:40
https://www.banki.ru/services/responses/bank/response/12622411,5,False,"Получение пенсии в Альфа банке – отзыв о Альфа-Банке от ""user-563423038260"" | Банки.ру","Обратилась в отделение банка для оформления перевода получения пенсии в Альфа банк.
Сотрудник помог ...",Отзывы о продуктах Альфа-Банка,False,good,3,3,3,3,Уфа,12.10.2025 13:40
https://www.banki.ru/services/responses/bank/response/12622412,5,False,"Удобная карта ""Халва"" – отзыв о Совкомбанке от ""user-348323038230"" | Банки.ру","Я пользуюсь картой ""халва"" с 2020 года. Мне очень нравится эта карта . Очень удобная рассрочка . Нес...",Отзывы о кредитных картах Совкомбанка,False,good,3,3,3,3,Завитинск,12.10.2025 13:40
https://www.banki.ru/services/responses/bank/response/12622413,0,False,,,,False,"Error:Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""div.lbb810226""}
  (Session info: chrome=141.0.7390.123); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
Stacktrace:
	GetHandleVerifier [0x0x9cfe43+66515]
	GetHandleVerifier [0x0x9cfe84+66580]
	(No symbol) [0x0x7bdc48]
	(No symbol) [0x0x808704]
	(No symbol) [0x0x808aab]
	(No symbol) [0x0x84f482]
	(No symbol) [0x0x82b214]
	(No symbol) [0x0x84cba7]
	(No symbol) [0x0x82afc6]
	(No symbol) [0x0x7fc2ca]
	(No symbol) [0x0x7fd154]
	GetHandleVerifier [0x0xc27353+2521315]
	GetHandleVerifier [0x0xc222d3+2500707]
	GetHandleVerifier [0x0x9f7c94+229924]
	GetHandleVerifier [0x0x9e81f8+165768]
	GetHandleVerifier [0x0x9eecad+193085]
	GetHandleVerifier [0x0x9d8158+100072]
	GetHandleVerifier [0x0x9d82f0+100480]
	GetHandleVerifier [0x0x9c25aa+11066]
	BaseThreadInitThunk [0x0x7565fcc9+25]
	RtlGetAppContainerNamedObjectPath [0x0x76fb82ae+286]
	RtlGetAppContainerNamedObjectPath [0x0x76fb827e+238]
",0,0,0,0,,
https://www.banki.ru/services/responses/bank/response/12622414,0,False,"Помощь в консультации – отзыв о Банке Ozon от ""user-326023038263"" | Банки.ру",Светлана в 12:56 12.10 помог мне отменить ошибочное обращение. Я обратился к ним в чат для помощи в ...,Отзывы о дебетовых картах Банка Ozon,False,good,3,3,2,3,Ставрополь,12.10.2025 13:41
https://www.banki.ru/services/responses/bank/response/12622415,0,False,"Карта для оплаты – отзыв о Яндекс Банке от ""user-850123038262"" | Банки.ру","Пользуюсь Яндекс Pay уже давно, в основном оплачиваю по QR-коду — быстро и удобно, особенно когда не...",Отзывы о дебетовых картах Яндекс Банка,False,good,3,3,3,3,Казань,12.10.2025 13:41
https://www.banki.ru/services/responses/bank/response/12622416,5,False,"Заблокировали перевод – отзыв о Альфа-Банке от ""user-250923038253"" | Банки.ру",5 сентября я пыталась перевести средства со своей карты Альфа-Банка на карту родственника в другом б...,Отзывы о дебетовых картах Альфа-Банка,False,good,3,3,3,3,Екатеринбург (Свердловская область),12.10.2025 13:41
https://www.banki.ru/services/responses/bank/response/12622417,5,False,Unknown,"Представитель банка заранее позвонил и в назначенный интервал был на месте, и даже немного подождал ...",Отзывы о дебетовых картах Альфа-Банка,False,good,3,3,3,3,Нижний Новгород,12.10.2025 13:43
https://www.banki.ru/services/responses/bank/response/12622418,0,False,"Активация карты – отзыв о Банке Ozon от ""user-685717896523"" | Банки.ру",Помогли решить проблему с активацией дебетовой OZON карты. Консультанты быстро определили проблему и...,Отзывы о дебетовых картах Банка Ozon,False,good,3,3,3,3,Ухта,12.10.2025 13:44
https://www.banki.ru/services/responses/bank/response/12622419,0,False,,,,False,"Error:Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""div.lbb810226""}
  (Session info: chrome=141.0.7390.123); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
Stacktrace:
	GetHandleVerifier [0x0x9cfe43+66515]
	GetHandleVerifier [0x0x9cfe84+66580]
	(No symbol) [0x0x7bdc48]
	(No symbol) [0x0x808704]
	(No symbol) [0x0x808aab]
	(No symbol) [0x0x84f482]
	(No symbol) [0x0x82b214]
	(No symbol) [0x0x84cba7]
	(No symbol) [0x0x82afc6]
	(No symbol) [0x0x7fc2ca]
	(No symbol) [0x0x7fd154]
	GetHandleVerifier [0x0xc27353+2521315]
	GetHandleVerifier [0x0xc222d3+2500707]
	GetHandleVerifier [0x0x9f7c94+229924]
	GetHandleVerifier [0x0x9e81f8+165768]
	GetHandleVerifier [0x0x9eecad+193085]
	GetHandleVerifier [0x0x9d8158+100072]
	GetHandleVerifier [0x0x9d82f0+100480]
	GetHandleVerifier [0x0x9c25aa+11066]
	BaseThreadInitThunk [0x0x7565fcc9+25]
	RtlGetAppContainerNamedObjectPath [0x0x76fb82ae+286]
	RtlGetAppContainerNamedObjectPath [0x0x76fb827e+238]
",0,0,0,0,,
https://www.banki.ru/services/responses/bank/response/12622420,5,False,"Приложение – отзыв о Альфа-Банке от ""user-547023038297"" | Банки.ру","Хорошее приложение, удобный понятный интерфейс, большой кэшбэк, переводы без комиссии, кредитная кар...",Отзывы о продуктах Альфа-Банка,False,good,3,3,3,3,Ханты-Мансийск,12.10.2025 13:45
https://www.banki.ru/services/responses/bank/response/12622421,0,False,,,,False,"Error:Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""div.lbb810226""}
  (Session info: chrome=141.0.7390.123); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
Stacktrace:
	GetHandleVerifier [0x0x9cfe43+66515]
	GetHandleVerifier [0x0x9cfe84+66580]
	(No symbol) [0x0x7bdc48]
	(No symbol) [0x0x808704]
	(No symbol) [0x0x808aab]
	(No symbol) [0x0x84f482]
	(No symbol) [0x0x82b214]
	(No symbol) [0x0x84cba7]
	(No symbol) [0x0x82afc6]
	(No symbol) [0x0x7fc2ca]
	(No symbol) [0x0x7fd154]
	GetHandleVerifier [0x0xc27353+2521315]
	GetHandleVerifier [0x0xc222d3+2500707]
	GetHandleVerifier [0x0x9f7c94+229924]
	GetHandleVerifier [0x0x9e81f8+165768]
	GetHandleVerifier [0x0x9eecad+193085]
	GetHandleVerifier [0x0x9d8158+100072]
	GetHandleVerifier [0x0x9d82f0+100480]
	GetHandleVerifier [0x0x9c25aa+11066]
	BaseThreadInitThunk [0x0x7565fcc9+25]
	RtlGetAppContainerNamedObjectPath [0x0x76fb82ae+286]
	RtlGetAppContainerNamedObjectPath [0x0x76fb827e+238]
",0,0,0,0,,
https://www.banki.ru/services/responses/bank/response/12622422,0,False,Unknown,,Отзывы о дебетовых картах Альфа-Банка,False,good,2,3,3,2,Москва,12.10.2025 13:46
https://www.banki.ru/services/responses/bank/response/12622423,5,False,Unknown,"Пользуясь услугами банка уже несколько лет, ни разу не пожалела о своём выборе, особенно впечатлила ...",Отзывы о дебетовых картах Альфа-Банка,False,good,3,3,3,3,Калуга,12.10.2025 13:46
https://www.banki.ru/services/responses/bank/response/12622424,0,False,"Помогли решить проблему – отзыв о Альфа-Банке от ""user-971913612196"" | Банки.ру","Однажды столкнулся с ситуацией, что мои документы попали в какие то организации, которые начисляли м...",Отзывы о продуктах Альфа-Банка,False,good,3,3,3,3,Бийск,12.10.2025 13:47
https://www.banki.ru/services/responses/bank/response/12622425,5,False,"Обмен валюты – отзыв о Камкомбанке от ""user-161823036675"" | Банки.ру","В день вылета потребовалось купить доллар, но в воскресенье, к тому же нового образца оказалось не т...",Отзывы о продуктах Камкомбанка,False,good,3,3,3,3,Москва,12.10.2025 13:47
https://www.banki.ru/services/responses/bank/response/12622426,0,False,"Приятно удивлен – отзыв о Московском кредитном банке от ""user-514423038307"" | Банки.ру","Прийдя в МКБ банк на академика Янгеля, для переоформления вклада. Был очень приятно удивлён новым ре...",Отзывы о вкладах Московского кредитного банка,False,good,3,3,3,3,Москва,12.10.2025 13:47
https://www.banki.ru/services/responses/bank/response/12622427,0,False,"Дебетовая карта – отзыв о Альфа-Банке от ""user-635323038318"" | Банки.ру","17 марта я заказал дебетовую карту по советам друзей ,в 15:00 к моему дому приехал сотрудник банка, ...",Отзывы о дебетовых картах Альфа-Банка,False,good,3,3,3,3,Железногорск (Курская область),12.10.2025 13:47
https://www.banki.ru/services/responses/bank/response/12622428,5,False,"Нормальный банк – отзыв о Альфа-Банке от ""user-981823038326"" | Банки.ру","Пользуюсь Альфа-Банком много лет.На высшем уровне работают и мобильное приложение, и служба поддержк...",Отзывы о продуктах Альфа-Банка,False,good,3,3,3,3,Каменск-Уральский,12.10.2025 13:48
https://www.banki.ru/services/responses/bank/response/12622429,0,False,,,,False,"Error:Message: no such element: Unable to locate element: {""method"":""css selector"",""selector"":""div.lbb810226""}
  (Session info: chrome=141.0.7390.123); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#nosuchelementexception
Stacktrace:
	GetHandleVerifier [0x0x9cfe43+66515]
	GetHandleVerifier [0x0x9cfe84+66580]
	(No symbol) [0x0x7bdc48]
	(No symbol) [0x0x808704]
	(No symbol) [0x0x808aab]
	(No symbol) [0x0x84f482]
	(No symbol) [0x0x82b214]
	(No symbol) [0x0x84cba7]
	(No symbol) [0x0x82afc6]
	(No symbol) [0x0x7fc2ca]
	(No symbol) [0x0x7fd154]
	GetHandleVerifier [0x0xc27353+2521315]
	GetHandleVerifier [0x0xc222d3+2500707]
	GetHandleVerifier [0x0x9f7c94+229924]
	GetHandleVerifier [0x0x9e81f8+165768]
	GetHandleVerifier [0x0x9eecad+193085]
	GetHandleVerifier [0x0x9d8158+100072]
	GetHandleVerifier [0x0x9d82f0+100480]
	GetHandleVerifier [0x0x9c25aa+11066]
	BaseThreadInitThunk [0x0x7565fcc9+25]
	RtlGetAppContainerNamedObjectPath [0x0x76fb82ae+286]
	RtlGetAppContainerNamedObjectPath [0x0x76fb827e+238]
",0,0,0,0,,
https://www.banki.ru/services/responses/bank/response/12622430,5,False,"Отличные условия – отзыв о Яндекс Банке от ""user-581122544749"" | Банки.ру","Яндекс банк, предоставляет отличные условия для покупки товаров, через приложение Яндекс Маркет с ра...",Отзывы о кредитных картах Яндекс Банка,False,good,3,3,3,3,Москва,12.10.2025 13:49
https://www.banki.ru/services/responses/bank/response/12622431,5,False,"Платежи по карте Сплит – отзыв о Яндекс Банке от ""user-481223038208"" | Банки.ру","Воспользовался картой Сплит, оплата прошла легко, возник вопрос по какому графику будут производится...",Отзывы о кредитных картах Яндекс Банка,False,good,2,3,3,3,Челябинск,12.10.2025 13:50
https://www.banki.ru/services/responses/bank/response/12622432,0,False,Unknown,"Добрыв день.Хочу выразить благодарность сотрудникам банка.У меня случилась такая история,что после о...",Отзывы о продуктах Альфа-Банка,False,good,3,3,3,3,Смоленск (Смоленская область),12.10.2025 13:50
https://www.banki.ru/services/responses/bank/response/12622433,0,False,"Кешбек – отзыв о Альфа-Банке от ""user-205714097218"" | Банки.ру","Здравствуйте. 8 октября возникло полное недопонемание с банком, из-за написания моего отзыва и я обр...",Отзывы о дебетовых картах Альфа-Банка,False,good,2,3,3,3,Москва,12.10.2025 13:50
https://www.banki.ru/services/responses/bank/response/12622434,5,False,"Очень нравится сервис – отзыв о Яндекс Банке от ""user-945620410850"" | Банки.ру","нравится сервис Яндекс плюса, в том числе Яндекс Pay , удобно платить взаимодействие с маркетом , мн...",Отзывы о дебетовых картах Яндекс Банка,False,good,3,3,3,3,Рязань,12.10.2025 13:51
https://www.banki.ru/services/responses/bank/response/12622435,1,True,Unknown," Также на мой вопрос о том, чтобы пересчитали комиссию за период, когда не было уведомлений, банк та...",Отзывы о дебетовых картах Т-Банка,False,good,1,2,1,3,Саратов (Саратовская область),12.10.2025 13:51
https://www.banki.ru/services/responses/bank/response/12622436,5,False,"Помощь – отзыв о Альфа-Банке от ""user-438723038370"" | Банки.ру",2 октября переводил со своей карты Альфа‑Банка на карту друга в другом банке и получил блокировку ка...,Отзывы о продуктах Альфа-Банка,False,good,3,3,3,3,Москва,12.10.2025 13:52
https://www.banki.ru/services/responses/bank/response/12622437,0,False,"Благодарность за содействие – отзыв о Камкомбанке от ""user-711023038358"" | Банки.ру","Впервые обратившись в отделение банка Камкомбанк, я сделал для себя вывод, что банк достоин уважения...",Отзывы о продуктах Камкомбанка,False,good,3,3,3,3,Москва,12.10.2025 13:52
